Symbol,Company,Sector
RELIANCE,Reliance Industries,Oil & Gas
TCS,Tata Consultancy Services,IT
HDFCBANK,HDFC Bank,Banking
INFY,Infosys,IT
ICICIBANK,ICICI Bank,Banking
HINDUNILVR,Hindustan Unilever,FMCG
ITC,ITC,FMCG
SBIN,State Bank of India,Banking
BHARTIARTL,Bharti Airtel,Telecom
KOTAKBANK,Kotak Mahindra Bank,Banking
LT,Larsen & Toubro,Infrastructure
AXISBANK,Axis Bank,Banking
ASIANPAINT,Asian Paints,Consumer
MARUTI,Maruti Suzuki,Automobile
HCLTECH,HCL Technologies,IT
SUNPHARMA,Sun Pharma,Pharma
TITAN,Titan Company,Consumer
BAJFINANCE,Bajaj Finance,Finance
WIPRO,Wipro,IT
ULTRACEMCO,UltraTech Cement,Cement
ONGC,ONGC,Oil & Gas
NTPC,NTPC,Power
POWERGRID,Power Grid Corp,Power
M&M,Mahindra & Mahindra,Automobile
JSWSTEEL,JSW Steel,Metals
TATASTEEL,Tata Steel,Metals
ADANIENT,Adani Enterprises,Diversified
ADANIPORTS,Adani Ports,Infrastructure
COALINDIA,Coal India,Mining
BAJAJFINSV,Bajaj Finserv,Finance
TECHM,Tech Mahindra,IT
INDUSINDBK,IndusInd Bank,Banking
HINDALCO,Hindalco,Metals
NESTLEIND,Nestle India,FMCG
DRREDDY,Dr Reddys Labs,Pharma
DIVISLAB,Divis Labs,Pharma
CIPLA,Cipla,Pharma
EICHERMOT,Eicher Motors,Automobile
APOLLOHOSP,Apollo Hospitals,Healthcare
HEROMOTOCO,Hero MotoCorp,Automobile
BAJAJ-AUTO,Bajaj Auto,Automobile
BRITANNIA,Britannia Industries,FMCG
TATACONSUM,Tata Consumer,FMCG
GRASIM,Grasim Industries,Cement
SBILIFE,SBI Life Insurance,Insurance
HDFCLIFE,HDFC Life Insurance,Insurance
BPCL,Bharat Petroleum,Oil & Gas
WIPRO,Wipro,IT
SHRIRAMFIN,Shriram Finance,Finance
TRENT,Trent,Retail
BEL,Bharat Electronics,Defence
ETERNAL,Eternal (Zomato),Technology
